Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65.0,8450,Pave,0,0,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,3,2,PConc,4.0,3.0,1.0,6.0,706,1.0,0,150,856,GasA,4,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,5,2003.0,2.0,2,548,3.0,3.0,Y,0,61,0,0,0,0,0,2,2008,WD,Normal,208500
2,20,RL,80.0,9600,Pave,0,0,AllPub,FR2,0,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,4.0,3.0,4.0,5.0,978,1.0,0,284,1262,GasA,4,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,5,1976.0,2.0,2,460,3.0,3.0,Y,298,0,0,0,0,0,0,5,2007,WD,Normal,181500
3,60,RL,68.0,11250,Pave,1,0,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,3,2,PConc,4.0,3.0,2.0,6.0,486,1.0,0,434,920,GasA,4,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,5,2001.0,2.0,2,608,3.0,3.0,Y,0,42,0,0,0,0,0,9,2008,WD,Normal,223500
4,70,RL,60.0,9550,Pave,1,0,AllPub,Corner,0,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,2,2,BrkTil,3.0,4.0,1.0,5.0,216,1.0,0,540,756,GasA,3,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,1,1998.0,1.0,3,642,3.0,3.0,Y,0,35,272,0,0,0,0,2,2006,WD,Abnorml,140000
5,60,RL,84.0,14260,Pave,1,0,AllPub,FR2,0,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,3,2,PConc,4.0,3.0,3.0,6.0,655,1.0,0,490,1145,GasA,4,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,5,2000.0,2.0,3,836,3.0,3.0,Y,192,84,0,0,0,0,0,12,2008,WD,Normal,250000
6,50,RL,85.0,14115,Pave,1,0,AllPub,Inside,0,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,Wood,4.0,3.0,1.0,6.0,732,1.0,0,64,796,GasA,4,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,5,1993.0,1.0,2,480,3.0,3.0,Y,40,30,0,320,0,0,700,10,2009,WD,Normal,143000
7,20,RL,75.0,10084,Pave,0,0,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,3,2,PConc,5.0,3.0,3.0,6.0,1369,1.0,0,317,1686,GasA,4,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,5,2004.0,2.0,2,636,3.0,3.0,Y,255,57,0,0,0,0,0,8,2007,WD,Normal,307000
9,50,RM,51.0,6120,Pave,0,0,AllPub,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,2,2,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,952,952,GasA,3,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,1,1931.0,1.0,2,468,2.0,3.0,Y,90,0,205,0,0,0,0,4,2008,WD,Abnorml,129900
10,190,RL,50.0,7420,Pave,0,0,AllPub,Corner,0,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3.0,3.0,1.0,6.0,851,1.0,0,140,991,GasA,4,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,5,1939.0,2.0,1,205,4.0,3.0,Y,0,4,0,0,0,0,0,1,2008,WD,Normal,118000
11,20,RL,70.0,11200,Pave,0,0,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3.0,3.0,1.0,3.0,906,1.0,0,134,1040,GasA,4,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,1,1965.0,1.0,1,384,3.0,3.0,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500
